Date,Country,Confirmed,Deaths,NewCases,Recovered
2020-02-19,USA,,,0.0,
2020-02-20,USA,,,0.0,
2020-02-21,USA,,,20.0,
2020-02-22,USA,,,0.0,
2020-02-23,USA,,,0.0,
2020-02-24,USA,,,18.0,
2020-02-25,USA,,,0.0,
2020-02-26,USA,,,6.0,
2020-02-27,USA,,,1.0,
2020-02-28,USA,,,2.0,
2020-02-29,USA,,,8.0,
2020-03-01,USA,,,6.0,
2020-03-02,USA,,,25.0,
2020-03-03,USA,,,21.0,
2020-03-04,USA,,,31.0,
2020-03-05,USA,,,68.0,
2020-03-06,USA,,,57.0,
2020-03-07,USA,,,139.0,
2020-03-08,USA,,,120.0,
2020-03-09,USA,,,68.0,
2020-03-10,USA,,,354.0,
2020-03-11,USA,,,322.0,
2020-03-12,USA,,,382.0,
2020-03-13,USA,,,516.0,
2020-03-14,USA,,,547.0,
2020-03-15,USA,,,773.0,
2020-03-16,USA,,,1133.0,
2020-03-17,USA,,,1789.0,
2020-02-19,France,12.0,1.0,0.0,4.0
2020-02-20,France,12.0,1.0,0.0,4.0
2020-02-21,France,12.0,1.0,0.0,4.0
2020-02-22,France,12.0,1.0,0.0,4.0
2020-02-23,France,12.0,1.0,0.0,4.0
2020-02-24,France,12.0,1.0,0.0,4.0
2020-02-25,France,14.0,1.0,2.0,11.0
2020-02-26,France,18.0,2.0,4.0,11.0
2020-02-27,France,38.0,2.0,20.0,11.0
2020-02-28,France,57.0,2.0,19.0,11.0
2020-02-29,France,100.0,2.0,43.0,12.0
2020-03-01,France,130.0,2.0,30.0,12.0
2020-03-02,France,191.0,3.0,61.0,12.0
2020-03-03,France,204.0,4.0,13.0,12.0
2020-03-04,France,285.0,4.0,81.0,12.0
2020-03-05,France,377.0,6.0,92.0,12.0
2020-03-06,France,653.0,9.0,276.0,12.0
2020-03-07,France,949.0,11.0,296.0,12.0
2020-03-08,France,1126.0,19.0,177.0,12.0
2020-03-09,France,1209.0,19.0,83.0,12.0
2020-03-10,France,1784.0,33.0,575.0,12.0
2020-03-11,France,2284.0,48.0,500.0,12.0
2020-03-12,France,2284.0,48.0,0.0,12.0
2020-03-13,France,3667.0,79.0,1383.0,12.0
2020-03-14,France,4480.0,91.0,813.0,12.0
2020-03-15,France,4513.0,91.0,33.0,12.0
2020-03-16,France,6650.0,148.0,2137.0,12.0
2020-03-17,France,7683.0,148.0,1033.0,12.0
2020-02-19,Germany,16.0,0.0,0.0,12.0
2020-02-20,Germany,16.0,0.0,0.0,12.0
2020-02-21,Germany,16.0,0.0,0.0,14.0
2020-02-22,Germany,16.0,0.0,0.0,14.0
2020-02-23,Germany,16.0,0.0,0.0,14.0
2020-02-24,Germany,16.0,0.0,0.0,14.0
2020-02-25,Germany,17.0,0.0,1.0,14.0
2020-02-26,Germany,27.0,0.0,10.0,15.0
2020-02-27,Germany,46.0,0.0,19.0,16.0
2020-02-28,Germany,48.0,0.0,2.0,16.0
2020-02-29,Germany,79.0,0.0,31.0,16.0
2020-03-01,Germany,130.0,0.0,51.0,16.0
2020-03-02,Germany,159.0,0.0,29.0,16.0
2020-03-03,Germany,196.0,0.0,37.0,16.0
2020-03-04,Germany,262.0,0.0,66.0,16.0
2020-03-05,Germany,482.0,0.0,220.0,16.0
2020-03-06,Germany,670.0,0.0,188.0,17.0
2020-03-07,Germany,799.0,0.0,129.0,18.0
2020-03-08,Germany,1040.0,0.0,241.0,18.0
2020-03-09,Germany,1176.0,2.0,136.0,18.0
2020-03-10,Germany,1457.0,2.0,281.0,18.0
2020-03-11,Germany,1908.0,3.0,451.0,25.0
2020-03-12,Germany,2078.0,3.0,170.0,25.0
2020-03-13,Germany,3675.0,7.0,1597.0,46.0
2020-03-14,Germany,4585.0,9.0,910.0,46.0
2020-03-15,Germany,5795.0,11.0,1210.0,46.0
2020-03-16,Germany,7272.0,17.0,1477.0,67.0
2020-03-17,Germany,9257.0,24.0,1985.0,67.0
2020-02-19,Italy,3.0,0.0,0.0,0.0
2020-02-20,Italy,3.0,0.0,0.0,0.0
2020-02-21,Italy,20.0,1.0,17.0,0.0
2020-02-22,Italy,62.0,2.0,42.0,1.0
2020-02-23,Italy,155.0,3.0,93.0,2.0
2020-02-24,Italy,229.0,7.0,74.0,1.0
2020-02-25,Italy,322.0,10.0,93.0,1.0
2020-02-26,Italy,453.0,12.0,131.0,3.0
2020-02-27,Italy,655.0,17.0,202.0,45.0
2020-02-28,Italy,888.0,21.0,233.0,46.0
2020-02-29,Italy,1128.0,29.0,240.0,46.0
2020-03-01,Italy,1694.0,34.0,566.0,83.0
2020-03-02,Italy,2036.0,52.0,342.0,149.0
2020-03-03,Italy,2502.0,79.0,466.0,160.0
2020-03-04,Italy,3089.0,107.0,587.0,276.0
2020-03-05,Italy,3858.0,148.0,769.0,414.0
2020-03-06,Italy,4636.0,197.0,778.0,523.0
2020-03-07,Italy,5883.0,233.0,1247.0,589.0
2020-03-08,Italy,7375.0,366.0,1492.0,622.0
2020-03-09,Italy,9172.0,463.0,1797.0,724.0
2020-03-10,Italy,10149.0,631.0,977.0,724.0
2020-03-11,Italy,12462.0,827.0,2313.0,1045.0
2020-03-12,Italy,12462.0,827.0,0.0,1045.0
2020-03-13,Italy,17660.0,1266.0,5198.0,1439.0
2020-03-14,Italy,21157.0,1441.0,3497.0,1966.0
2020-03-15,Italy,24747.0,1809.0,3590.0,2335.0
2020-03-16,Italy,27980.0,2158.0,3233.0,2749.0
2020-03-17,Italy,31506.0,2503.0,3526.0,2941.0
2020-02-19,Canada,8.0,0.0,0.0,1.0
2020-02-20,Canada,8.0,0.0,0.0,1.0
2020-02-21,Canada,9.0,0.0,1.0,3.0
2020-02-22,Canada,9.0,0.0,0.0,3.0
2020-02-23,Canada,9.0,0.0,0.0,3.0
2020-02-24,Canada,10.0,0.0,1.0,3.0
2020-02-25,Canada,11.0,0.0,1.0,3.0
2020-02-26,Canada,11.0,0.0,0.0,3.0
2020-02-27,Canada,13.0,0.0,2.0,6.0
2020-02-28,Canada,14.0,0.0,1.0,6.0
2020-02-29,Canada,20.0,0.0,6.0,6.0
2020-03-01,Canada,24.0,0.0,4.0,6.0
2020-03-02,Canada,27.0,0.0,3.0,6.0
2020-03-03,Canada,30.0,0.0,3.0,6.0
2020-03-04,Canada,33.0,0.0,3.0,6.0
